"","Country","City / Region","Name","System","Operator","Launched","Discontinued"
"88","China","Nanning","","","","December 2013",""
"89","China","Nantong[48]","Nantong Economic and Technological Development Area Public Bicycle","Forever Publicbike Intelligent Systems","","1 January 2013",""
"90","China","Ningbo","Ningbo Public Bicycle","","","September 2013",""
"91","China","Qingzhou","","","","2010",""
"92","China","Shanghai[49][50][51][52]","","Forever Bicycle","","March 2009",""
"93","China","Shaoxing[53]","Shaoxing Public Bicycle","","","15 June 2011",""
"94","China","Shenzhen / Shekou / Xiaomeisha","Shenzhen City Bicycle Public","Forever Bicycle","","September 2010",""
"95","China","Suzhou","","","","2010",""
"96","China","Taiyuan","","","","September 2012",""
"97","China","Taizhou, Jiangsu[54]","","","","2014",""
"98","China","Taizhou, Jiangsu[54]","China","","","2010",""
"99","China","Weifang","Weifang Public Bicycle","","","October 2013",""
"100","China","Wuhu","","","","2012",""
"101","China","Wuxi","Wuxibike","","","January 2010",""
"102","China","Xi'an","Xianbicycle","","","April 2011",""
"103","China","Xuzhou","","","","September 2012",""
"104","China","Yangzhou","","","","March 2014",""
"105","China","Yantai","","","","August 2010",""
"106","China","Yiwu","","","","October 2013",""
"107","China","Yixing","Yixing Public Bicycle","","","December 2012",""
"108","China","Yueyang","","","","April 2014",""
"109","China","Zhangjiagang","Forever Bicycle","Forever Bicycle","","June 2010",""
"110","China","Zhenjiang[55]","Zhenjiang Public Bicycle","","","1 April 2013",""
"111","China","Zhijin","","","","June 2014",""
"112","China","Zhongshan","","","","2010",""
"113","China","Zhuhai","","","","December 2012",""
"114","China","Zhuzhou","","Foshan Tianzhou","","May 2011",""
"115","Colombia","Medellin[56]","EnCicla","3 Gen (formally 0 Gen)","The Metropolitan Area of Aburra Valley[57]","2011",""
"116","Croatia","Hvar","nextbike[16]","","","",""
"117","Croatia","Dalmacia","nextbike[16]","","","",""
"118","Croatia","Osijek","nextbike[16]","","","",""
"119","Croatia","Split","nextbike[16]","","","",""
"120","Croatia","Various locations[58]","nextbike[16]","","","",""
"121","Croatia","Zadar","nextbike[16]","","","",""
"122","Croatia","Zagreb","nextbike[16]","3 Gen. nextbike","","May 2013",""
"123","Cyprus","Cap St. Georges","nextbike[16]","","","",""
"124","Cyprus","Famagusta","nextbike[16]","","","",""
"125","Cyprus","Larnaca","nextbike[16]","","","",""
"126","Cyprus","Limassol","nextbike[16][59]","3 Gen. nextbike","","May 2012",""
"127","Cyprus","Limassol","Bike in Action","3 Gen. Smoove","","",""
"128","Cyprus","Paphos","nextbike[16]","","","",""
"129","Cyprus","Pissouri[60]","e-asyGo.com Cyprus","own pedelecs","","April 2019",""
"130","Cyprus","Nicosia[61]","EasyBike","EasyBike[62]","EasyBike","October 2011",""
"131","Cyprus","Nicosia[61]","nextbike[16]","","","",""
"132","Cyprus","Nicosia District","Bike in Action","3 Gen. Smoove","","",""
"133","Czechia","Brno","nextbike[16]","","","",""
"134","Czechia","Brno","Rekola[63]","4 Gen.","","2014[64]",""
"135","Czechia","Brno","Velonet","","Velonet","9 October 2016[65]","2020[66]"
"136","Czechia","České Budějovice","Rekola[63]","4 Gen.","","2015[67]",""
"137","Czechia","Frýdek-Místek","nextbike[16]","","","",""
"138","Czechia","Frýdek-Místek","Rekola","4 Gen.","","2018[68]","Discontinued[63]"
"139","Czechia","Hradec Králové","nextbike[16]","","","",""
"140","Czechia","Hradec Králové","Rekola","4 Gen.","","2015[69]","2016"
"141","Czechia","Kladno","nextbike[16]","","","",""
"142","Czechia","Kladno","Rekola","4 Gen.","","2017[70]","2017"
"143","Czechia","Krnov","Rekola[63]","","","",""
"144","Czechia","Liberec","nextbike[16]","","","",""
"145","Czechia","Liberec","Rekola","4 Gen.","","2018[71]","Discontinued[63]"
"146","Czechia","Olomouc","nextbike[16]","","","",""
"147","Czechia","Olomouc","Rekola","4 Gen.","","2014[72]","Discontinued[63]"
"148","Czechia","Ostrava","nextbike[16]","3 Gen. nextbike","Nextbike","2019",""
"149","Czechia","Ostrava","Rekola","4 Gen.","","2018[73]","Discontinued[63]"
"150","Czechia","Pardubice","Rekola","4 Gen.","","2014","2016"
"151","Czechia","Prague","Bolt[74]","","","",""
"152","Czechia","Prague","Rekola[63]","4 Gen.[75]","","2013[76]",""
"153","Czechia","Prague","Freebike[77]","","HomePort","",""
"154","Czechia","Prague 4","Velonet","","Velonet","9 October 2016[65]","2020[78]"
"155","Czechia","Prague 7","Ofo","4 Gen. Ofo","Ofo","2017","Discontinued"
"156","Czechia","Prostějov","Rekola[63]","","","",""
"157","Czechia","Prostějov","nextbike","3 Gen. nextbike","Nextbike","2019","Discontinued[16]"
"158","Czechia","Teplice","Rekola","4 Gen.","","2017[79]","Discontinued[63]"
"159","Czechia","Various locations","nextbike[16]","","","",""
"160","Czechia","Žďár","Rekola[63]","","","",""
"161","Denmark","Aarhus","Aarhus City Bikes","2 Gen","Aarhus Municipality","March 2004",""
"162","Denmark","Aarhus","Donkey Republic[80]","","","",""
"163","Denmark","Århus","Bycyklen","2 Gen","","May 2007",""
"164","Denmark","Copenhagen","Bolt[81]","","","",""
"165","Denmark","Copenhagen","Bycyklen","Gobike","","16 August 2013[82]",""
"166","Denmark","Copenhagen","Donkey Republic[80]","","","",""
"167","Denmark","Copenhagen","Bycykler København","2 Gen","","1995","October 2012[83][84][85][a]"
"168","Denmark","Farsø","","2 Gen","","1991",""
"169","Denmark","Odense","Donkey Republic[80]","","","",""
"170","Denmark","Various locations","Donkey Republic[80]","","","",""
"171","Ecuador","Quito","BiciQ","BiciQ","","2012",""
"172","Estonia","Tallinn","Bolt[87]","","","",""
"173","Estonia","Tartu[88]","Bike Share","","Tartu linn","June 2019",""
"174","Finland","Espoo","Kaupunkipyörä","CityBike Finland","HSL","2017",""
"175","Finland","Hamina","Kaakau","Donkey Republic","Kaakau","2019",""
"176","Finland","Helsinki","Helsinki City Bikes","3 Gen. Smoove","Helsinki City Transport (HKL)","May 2017[89][90]",""
"177","Finland","Helsinki","Helsinki City Bikes","2 Gen.","Helsinki City Transport (HKL)","2000","2010[91]"
"178","Finland","Hyvinkää","Kaakau","Donkey Republic","Kaakau","2020","2021[92]"
"179","Finland","Iisalmi","Kaakau","Donkey Republic","Kaakau","2019",""
"180","Finland","Imatra","Kaakau","Donkey Republic","Kaakau","2018",""
"181","Finland","Kotka","Kaakau","Donkey Republic","Kaakau","2018",""
"182","Finland","Kouvola","Kaakau","Donkey Republic","Kaakau","2018",""
"183","Finland","Kuopio","Vilkku-fillarit","Freebike","City of Kuopio","2019",""
"184","Finland","Lahti","Mankeli","Freebike","","2022",""
"185","Finland","Lappeenranta","Kaakau","Donkey Republic","Kaakau","2019",""
