"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime"
"Washington, D.C.","Clear",10000,37.68,37.68,37.68,1008,10,5.66,324,"2024-07-11 00:00:00"
"Washington, D.C.","Clear",10000,29.01,29.01,29.01,1010,21,3.54,306,"2024-07-11 03:00:00"
"Washington, D.C.","Clear",10000,19.27,19.27,19.27,1012,51,3.3,287,"2024-07-11 06:00:00"
"Washington, D.C.","Clear",10000,17.16,17.16,17.16,1013,46,3.12,293,"2024-07-11 09:00:00"
"Washington, D.C.","Clear",10000,16.03,16.03,16.03,1013,49,2.88,292,"2024-07-11 12:00:00"
"Washington, D.C.","Clear",10000,23.82,23.82,23.82,1013,37,2.43,330,"2024-07-11 15:00:00"
"Washington, D.C.","Clear",10000,31.21,31.21,31.21,1012,20,2.91,11,"2024-07-11 18:00:00"
"Washington, D.C.","Clear",10000,35.4,35.4,35.4,1010,13,3.67,13,"2024-07-11 21:00:00"
"Washington, D.C.","Clear",10000,35.11,35.11,35.11,1009,15,3.8,336,"2024-07-12 00:00:00"
"Washington, D.C.","Clear",10000,28.37,28.37,28.37,1010,29,3.19,324,"2024-07-12 03:00:00"
"Washington, D.C.","Clear",10000,18.84,18.84,18.84,1013,50,3,286,"2024-07-12 06:00:00"
"Washington, D.C.","Clear",10000,16.2,16.2,16.2,1013,43,2.42,294,"2024-07-12 09:00:00"
"Washington, D.C.","Clear",10000,15.26,15.26,15.26,1013,34,2.19,294,"2024-07-12 12:00:00"
"Washington, D.C.","Clear",10000,23.15,23.15,23.15,1013,27,1.7,349,"2024-07-12 15:00:00"
"Washington, D.C.","Clear",10000,31.98,31.98,31.98,1011,16,1.61,83,"2024-07-12 18:00:00"
"Washington, D.C.","Clear",10000,36.23,36.23,36.23,1008,12,2.86,88,"2024-07-12 21:00:00"
"Washington, D.C.","Clear",10000,37.31,37.31,37.31,1006,12,2.08,245,"2024-07-13 00:00:00"
"Washington, D.C.","Clear",10000,28.85,28.85,28.85,1008,31,2.96,320,"2024-07-13 03:00:00"
"Washington, D.C.","Clear",10000,18.36,18.36,18.36,1011,54,3.28,285,"2024-07-13 06:00:00"
"Washington, D.C.","Clear",10000,16.26,16.26,16.26,1012,53,2.91,290,"2024-07-13 09:00:00"
"Washington, D.C.","Clear",10000,15.51,15.51,15.51,1012,58,2.4,292,"2024-07-13 12:00:00"
"Washington, D.C.","Clear",10000,23.22,23.22,23.22,1013,37,1.86,349,"2024-07-13 15:00:00"
"Washington, D.C.","Clear",10000,31.4,31.4,31.4,1011,18,1.55,50,"2024-07-13 18:00:00"
"Washington, D.C.","Clear",10000,36.65,36.65,36.65,1008,12,1.86,83,"2024-07-13 21:00:00"
"Washington, D.C.","Clear",10000,38.33,38.33,38.33,1007,10,2.03,302,"2024-07-14 00:00:00"
"Washington, D.C.","Clear",10000,30,30,30,1008,26,2.64,323,"2024-07-14 03:00:00"
"Washington, D.C.","Clear",10000,20.55,20.55,20.55,1011,49,3.04,286,"2024-07-14 06:00:00"
"Washington, D.C.","Clear",10000,18.01,18.01,18.01,1012,49,2.67,291,"2024-07-14 09:00:00"
"Paris","Rain",10000,25.15,25.15,29.2,1010,59,1.98,158,"2024-07-09 12:00:00"
"Paris","Rain",10000,25.6,25.6,26.51,1010,61,4.34,236,"2024-07-09 15:00:00"
"Paris","Rain",10000,23.84,23.19,23.84,1011,71,4.12,251,"2024-07-09 18:00:00"
"Paris","Rain",10000,19.86,19.86,19.86,1014,86,1.67,268,"2024-07-09 21:00:00"
"Paris","Rain",10000,18.41,18.41,18.41,1015,91,2.79,219,"2024-07-10 00:00:00"
"Paris","Clouds",10000,17.42,17.42,17.42,1016,93,3.53,217,"2024-07-10 03:00:00"
"Paris","Clouds",10000,16.96,16.96,16.96,1017,87,3.87,231,"2024-07-10 06:00:00"
"Paris","Clouds",10000,21.19,21.19,21.19,1018,60,4.6,233,"2024-07-10 09:00:00"
"Paris","Clouds",10000,24.04,24.04,24.04,1018,48,4.75,234,"2024-07-10 12:00:00"
"Paris","Rain",10000,23.81,23.81,23.81,1018,51,3.54,231,"2024-07-10 15:00:00"
"Paris","Rain",10000,23.55,23.55,23.55,1018,50,3.97,265,"2024-07-10 18:00:00"
"Paris","Clouds",10000,20.05,20.05,20.05,1019,68,1.9,244,"2024-07-10 21:00:00"
"Paris","Clouds",10000,18.09,18.09,18.09,1019,77,1.38,239,"2024-07-11 00:00:00"
"Paris","Clear",10000,16.64,16.64,16.64,1019,83,0.79,299,"2024-07-11 03:00:00"
"Paris","Clear",10000,17.85,17.85,17.85,1019,76,0.43,338,"2024-07-11 06:00:00"
"Paris","Clouds",10000,22.89,22.89,22.89,1018,54,0.68,221,"2024-07-11 09:00:00"
"Paris","Clouds",10000,26.18,26.18,26.18,1017,39,1.88,242,"2024-07-11 12:00:00"
"Paris","Clouds",10000,27.68,27.68,27.68,1016,34,2.13,299,"2024-07-11 15:00:00"
"Paris","Clouds",10000,24.78,24.78,24.78,1016,46,2.81,42,"2024-07-11 18:00:00"
"Paris","Clouds",10000,21.16,21.16,21.16,1016,69,3.03,53,"2024-07-11 21:00:00"
"Paris","Clouds",10000,19.53,19.53,19.53,1015,75,2.7,61,"2024-07-12 00:00:00"
"Paris","Clouds",10000,18.05,18.05,18.05,1014,82,2.1,59,"2024-07-12 03:00:00"
"Paris","Clouds",10000,18.64,18.64,18.64,1012,77,2.89,56,"2024-07-12 06:00:00"
"Paris","Rain",10000,20.6,20.6,20.6,1012,77,2.36,77,"2024-07-12 09:00:00"
"Paris","Rain",10000,20.75,20.75,20.75,1010,83,3.35,43,"2024-07-12 12:00:00"
"Paris","Rain",10000,22.74,22.74,22.74,1009,71,1.27,32,"2024-07-12 15:00:00"
"Paris","Rain",10000,21.13,21.13,21.13,1009,83,1.93,292,"2024-07-12 18:00:00"
"Paris","Rain",10000,18.11,18.11,18.11,1010,95,2.96,15,"2024-07-12 21:00:00"
"Paris","Rain",10000,16.83,16.83,16.83,1011,95,2.36,15,"2024-07-13 00:00:00"
"Paris","Rain",10000,16,16,16,1011,95,2.51,17,"2024-07-13 03:00:00"
"Paris","Rain",10000,15.54,15.54,15.54,1012,93,2.19,23,"2024-07-13 06:00:00"
"Paris","Clouds",10000,17.58,17.58,17.58,1013,83,1.53,45,"2024-07-13 09:00:00"
